dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.02282	0.28294	0.39529	0.34966	0.46693	0.38291	0.30719	0.35545	0.37824	0.41905	0.25619	0.20456	0.012906	0.021312	0.015099	0.022634	0.022221	0.46693	0.40343	0.21088	-0.19255	0.10765	0.39691	0.38452	0.37132	0.35583	0.32049	0.22917	0.058154	0.30098	0.81172	0.88735	0.024686	0.19756	0.17218	0.24205	0.14195	0.09686	0.17507	0.18651	0.14578	0.12206	0.040411	0.0025251	0.010473	0.001789	0.0068785	0.0024535	0.13523	0.31329	0.17046	0.2397	-0.1316	0.11969	0.13792	0.078931	0.13199	0.13513	0.13763	0.13617	0.13443	0.14141	0.091872	0.097722	0.14045	-0.029845	-0.072999	0.031016	-0.010368	0.020559	0.10694	0.1817	-0.045887	-0.042367	-0.02144	0.0089338	1.9313	1176
0.015612	0.13809	0.13368	0.18103	0.22999	0.16976	0.18943	0.34449	0.30922	0.55638	0.65378	0.37207	0.014115	0.023201	0.018194	0.01854	0.014889	0.65378	0.40323	0.20052	-0.20271	0.062688	0.44194	0.53084	0.63314	0.73963	0.81795	0.20833	0.11304	0.64989	0.53535	0.51821	0.060052	0.072659	0.074059	0.082509	0.079905	0.094474	0.16922	0.15203	0.2781	0.32983	0.18527	0.0072637	0.00063231	0.01223	0.0032938	0.0073643	0.14557	0.28688	0.12712	0.22076	0.075405	-0.063512	0.10807	0.024068	-0.089727	0.12223	0.141	0.13986	0.11955	0.10283	0.12409	0.086645	-0.11794	-0.0809	-0.083049	0.10226	0.10325	0.031796	0.007747	0.202	-0.023413	-0.02734	-0.041231	0.030504	1.8782	667.5
0.016865	0.45267	0.24689	0.19732	0.18049	0.17683	0.23113	0.2735	0.20049	0.15659	0.081504	0.16206	0.01007	0.0098009	0.0076613	0.0085351	0.0068051	0.45267	0.24286	0.16414	-0.078714	0.051563	0.27676	0.35924	0.46203	0.57723	0.66378	0.28646	0.13772	0.78102	0.77082	0.88342	0.20603	0.1141	0.10867	0.043639	0.077871	0.125	0.15376	0.11671	0.080413	0.041413	0.080214	0.0016338	0.0019209	7.203e-05	0.0029468	0.0033341	0.16019	0.26118	0.24396	0.23583	-0.12548	-0.13558	0.022692	0.1377	0.04884	0.038181	0.0063495	-0.018332	0.055118	0.10056	0.13147	0.13948	0.11614	0.014459	0.065399	0.11634	0.11604	-0.0034913	0.11489	0.10658	-0.041738	-0.053583	-0.031496	-0.035493	1.9348	667
0.0086143	0.15931	0.14903	0.099526	0.15702	0.22397	0.21591	0.20054	0.21599	0.16522	0.11653	0.097702	0.01648	0.0081478	0.014426	0.010123	0.010184	0.22397	0.20267	0.11993	-0.082742	0.033678	0.25146	0.38643	0.58444	0.83393	0.94963	0.20833	0.12401	0.66858	0.73496	0.74455	0.036913	0.037343	0.05162	0.081443	0.11603	0.10933	0.10015	0.1127	0.082773	0.060057	0.045413	0.0061912	0.0012515	0.0034548	0.0039892	0.001364	0.19461	0.20347	0.2037	0.20631	-0.09024	-0.11643	0.078383	0.07837	0.079603	0.1044	0.12055	0.072238	0.11687	0.061191	0.09992	0.064574	0.12973	0.04054	0.129	-0.0032124	0.50682	0.097709	0.40723	0.30877	0.19782	-0.003644	0.13593	0.071615	1.7297	388.5
0.0081209	0.55355	0.15289	0.057589	0.019561	0.02853	0.014663	0.014362	0.011901	0.010743	0.015153	0.013208	0.043945	0.039905	0.031529	0.023495	0.050281	0.55355	0.1091	0.06624	-0.042863	0.020999	0.14875	0.2755	0.49594	0.79289	0.75715	0.40104	0.039324	0.12703	0.10873	0.13431	0.2612	0.08196	0.028937	0.010049	0.0040628	0.0052871	0.0016917	0.0029214	0.0039361	0.0017906	0.004928	0.022275	0.021973	0.0022565	0.009308	0.0032059	0.070114	0.22203	0.12103	0.15378	0.074252	0.046154	0.11333	-0.0029842	0.14127	-0.019258	0.05602	-0.018281	-0.035391	0.095197	-0.028748	0.1033	0.022844	-0.094214	-0.13779	-0.0032251	0.45562	0.57989	0.53405	0.76488	0.15754	0.24851	0.2104	0.53934	0.83493	254.5
0.025488	0.17409	0.54867	0.58051	0.45348	0.19393	0.17091	0.45262	0.5737	0.50499	0.29084	0.55818	0.030256	0.019806	0.021147	0.027221	0.017622	0.58051	0.37335	0.24358	-0.12976	0.080629	0.38913	0.42292	0.45737	0.48812	0.49773	0.36458	0.076524	0.41099	0.84015	0.82498	0.066879	0.14685	0.15634	0.10547	0.048468	0.088203	0.2429	0.31349	0.26196	0.15461	0.29166	0.010503	0.0030848	0.01099	0.0073744	0.0029409	0.066057	0.31969	0.18749	0.23944	-0.12698	0.076085	0.066585	0.080327	-0.14014	0.083587	0.04519	0.029256	0.078211	0.053958	0.070777	0.017866	0.047147	0.076332	-0.13172	-0.085187	0.05064	0.1585	0.012008	0.28974	-0.052465	-0.027894	-0.050885	0.04936	1.7466	1583.5
0.016883	0.078735	0.13206	0.31328	0.38759	0.41212	0.28322	0.3309	0.28854	0.31053	0.2032	0.2151	0.027697	0.013799	0.013305	0.011295	0.015159	0.41212	0.35789	0.20092	-0.15697	0.0691	0.3847	0.44454	0.51055	0.57618	0.61975	0.19792	0.11356	0.88923	1.1216	1.1292	0.018671	0.026852	0.14766	0.21647	0.22068	0.14432	0.16418	0.14169	0.14355	0.090818	0.10609	0.0046523	0.0036427	0.0021772	0.00074523	0.002267	0.1457	0.31685	0.21245	0.25094	0.13825	-0.086508	0.10596	-0.0067217	0.0053882	0.097396	0.12845	0.14141	0.14016	0.13636	0.13585	0.12941	-0.10966	0.073181	-0.094631	0.13395	-0.025008	0.028993	0.12486	0.15541	-0.047299	-0.039715	-0.016624	-0.00070315	1.88	2437.5
0.019905	0.12817	0.052568	0.073073	0.070654	0.24779	0.55503	0.61377	0.64392	0.53157	0.28706	0.32142	0.018359	0.029091	0.037414	0.032983	0.019273	0.64392	0.38206	0.25327	-0.12879	0.059244	0.42349	0.52022	0.63419	0.75561	0.84716	0.51562	0.10285	0.44882	0.26566	0.28875	0.030093	0.022197	0.04156	0.038797	0.10357	0.27192	0.25692	0.31368	0.28645	0.14954	0.13176	0.0069195	0.011055	0.0052357	0.015521	0.0025222	0.031906	0.29087	0.15175	0.2165	0.032918	-0.13944	-0.0022336	0.025143	-0.061233	0.0087521	-0.016948	-0.014967	0.036042	0.073911	0.031535	-0.064797	-0.041689	0.13115	0.082779	0.14122	0.094953	0.15458	0.15106	0.3502	-0.038049	-0.032651	-0.026336	0.071491	1.4886	458
0.014897	0.084631	0.15341	0.039156	0.072877	0.27739	0.53021	0.54949	0.4943	0.47557	0.25018	0.31805	0.014791	0.023203	0.03147	0.029871	0.020453	0.54949	0.30304	0.13217	-0.17087	0.055891	0.33983	0.42722	0.53267	0.64753	0.73486	0.45833	0.17697	0.47404	0.34464	0.31573	0.0034845	0.023925	0.011152	0.035791	0.13798	0.26053	0.26988	0.22888	0.1337	0.067545	0.064209	0.0025817	0.0035325	0.0014212	0.0084565	0.010094	0.14244	0.32108	0.12089	0.22633	0.12387	-0.13862	-0.024575	0.14124	0.12538	0.14057	0.14118	0.093088	-0.067815	-0.07223	-0.11849	0.11472	-0.11987	0.11825	-0.1032	0.1351	0.15106	0.22392	0.20791	0.38872	-0.026336	-0.0090643	-0.0092893	0.11698	1.4574	535
0.012236	0.054945	0.22423	0.30876	0.023968	0.05224	0.035454	0.098391	0.30661	0.4303	0.41323	0.13257	0.0075948	0.0097347	0.0093524	0.017589	0.013406	0.4303	0.20654	0.11839	-0.08815	0.036632	0.25199	0.37457	0.54883	0.76423	0.88191	0.30208	0.21527	0.52732	0.7082	0.75452	0.019205	0.077949	0.11082	0.011871	0.02663	0.021484	0.035196	0.1528	0.21719	0.20635	0.06533	0.0012842	0.0018451	0.0023437	0.001278	0.0041307	0.23115	0.29169	0.26246	0.26733	0.063407	0.11216	0.024751	0.13061	0.096937	-0.042794	0.13909	0.12309	0.10811	0.12071	0.13697	0.11557	0.13558	0.055678	-0.13666	-0.11748	0.4662	0.17911	0.29147	0.28973	0.16382	-0.013406	0.033333	0.034499	1.6292	623
